,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status (Approved),Property_Area_Semiurban,Property_Area_Urban
0,LP001002,1,0,0,0,0,0.07293135984867927,-1.1028368386382617,128.0,8,1,1,0,1
1,LP001003,1,1,1,0,0,-0.13430245319192863,0.75057773763691,128.0,8,1,0,0,0
2,LP001005,1,1,0,0,1,-0.3934265653904138,-1.1028368386382617,66.0,8,1,1,0,1
3,LP001006,1,1,0,1,0,-0.4616860440933629,0.8916859777250576,120.0,8,1,1,0,1
4,LP001008,1,0,0,0,0,0.09764882096173755,-1.1028368386382617,141.0,8,1,1,0,1
5,LP001011,1,1,2,0,1,0.0022165042139694682,1.079209600231378,267.0,8,1,1,0,1
6,LP001013,1,1,0,1,0,-0.5026089929560421,0.7522260656078391,95.0,8,1,1,0,1
7,LP001014,1,1,3,0,0,-0.387533660754188,0.9109361823743981,158.0,8,0,0,1,0
8,LP001018,1,1,2,0,0,-0.22875261916699238,0.754275009477503,168.0,8,1,1,0,1
9,LP001020,1,1,1,0,0,1.2174643936400935,1.406405074256018,349.0,8,1,0,1,0
10,LP001024,1,1,2,0,0,-0.3606882063002704,0.5169191969930276,70.0,8,1,1,0,1
11,LP001027,1,1,2,0,0,-0.47527246311577237,0.8129253632521255,109.0,8,1,1,0,1
12,LP001028,1,1,2,0,0,-0.3814770643225115,1.3014301410735851,200.0,8,1,1,0,1
13,LP001029,1,0,0,0,0,-0.5811810547723864,0.9515063044538443,114.0,8,1,0,0,0
14,LP001030,1,1,2,0,0,-0.6718663094520837,0.6493161170473276,17.0,4,1,1,0,1
15,LP001032,1,0,0,0,0,-0.07422756426151543,-1.1028368386382617,125.0,8,1,1,0,1
16,LP001034,1,0,1,1,0,-0.2958662553017864,-1.1028368386382617,100.0,6,1,1,0,1
17,LP001036,0,0,0,0,0,-0.3099437497105481,-1.1028368386382617,76.0,8,0,0,0,1
18,LP001038,1,1,0,1,0,-0.08454014737491061,-1.1028368386382617,133.0,8,1,0,0,0
19,LP001041,1,1,0,0,0,-0.45890328357070065,1.0195045117229433,115.0,8,1,1,0,1
20,LP001043,1,1,0,1,0,0.36937720140992797,-1.1028368386382617,104.0,8,0,0,0,1
21,LP001046,1,1,1,0,0,0.09028269016645528,1.177054932826804,315.0,8,1,1,0,1
22,LP001047,1,1,0,1,0,-0.45890328357070065,0.8248722288505855,116.0,8,0,0,1,0
23,LP001050,1,1,2,1,0,-0.3336790600509021,0.8258626021806353,112.0,8,0,0,0,0
24,LP001052,1,1,1,0,0,-0.27605954805224964,0.961052023217619,151.0,8,1,0,1,0
25,LP001066,1,1,0,0,1,0.6803916127662906,-1.1028368386382617,191.0,8,1,1,1,0
26,LP001068,1,1,0,0,0,-0.426328616276008,0.8771355230624517,122.0,8,1,1,1,0
27,LP001073,1,1,2,1,0,-0.19274042416783463,0.6361132550846059,110.0,8,1,1,0,1
28,LP001086,1,0,0,1,0,-0.6484583827026311,-1.1028368386382617,35.0,8,1,0,0,1
29,LP001087,0,0,2,0,0,-0.270657718802376,0.8521669790391802,120.0,8,1,1,1,0
30,LP001091,1,1,1,0,0,-0.20256193189487764,1.0070281245447943,201.0,8,1,0,0,1
31,LP001095,1,0,0,0,0,-0.3660900355501441,-1.1028368386382617,74.0,8,1,0,0,1
32,LP001097,1,0,1,0,1,-0.11646004748780045,-1.1028368386382617,106.0,8,1,0,0,0
33,LP001098,1,1,0,0,0,-0.31158066766505527,0.7818945952900874,114.0,8,1,1,1,0
34,LP001100,1,0,3,0,0,1.161645491391399,0.9692604163940796,320.0,8,1,0,0,0
35,LP001106,1,1,0,0,0,-0.5121031170921837,0.8497191856894085,128.0,8,1,1,0,1
36,LP001109,1,1,0,0,0,-0.5852733496586543,0.7115995513187214,100.0,8,0,0,0,1
37,LP001112,0,1,0,0,0,-0.2842441378247855,0.7402985847397701,144.0,8,1,1,1,0
38,LP001114,1,0,0,0,0,-0.20256193189487764,1.2612652047922428,184.0,8,1,1,0,1
39,LP001116,1,0,0,1,0,-0.2709851023932774,0.7820825126109782,110.0,8,1,1,1,0
40,LP001119,1,0,0,0,0,-0.29521148811998354,-1.1028368386382617,80.0,8,1,0,0,1
41,LP001120,1,0,0,0,0,-0.5898567199312744,0.6832090360194575,47.0,8,1,1,0,1
42,LP001123,1,1,0,0,0,-0.4916416426608441,-1.1028368386382617,75.0,8,1,1,0,1
43,LP001131,1,1,0,0,0,-0.239392585871289,0.8886885022225632,134.0,8,1,1,1,0
44,LP001136,1,1,0,1,1,-0.1159689721014483,-1.1028368386382617,96.0,8,1,1,0,1
45,LP001137,0,0,0,0,0,-0.3263129292556198,-1.1028368386382617,88.0,8,1,1,0,1
46,LP001138,1,1,1,0,0,0.040193000758535845,-1.1028368386382617,44.0,8,1,1,0,1
